object,night,t_fit,alpha,delta,alpha_dot,delta_dot,a_kep,e,i,Omega,omega,M,a_equ,h,k,p,q,lambda
2020KK6,1,58997.436944444446,4.25363958575144,-0.15157185837387666,-0.014424554951056656,-0.039182905719030714,1.53264,0.333666,20.119,70.578,229.903,188.978,1.5325463839734779,-0.287599137243187,0.169080648602057,0.16738709083655,0.058908710813607,273.4152015681948
2020KK6,2,58998.565254629626,4.238839702748894,-0.19751406331138716,-0.013722411644124577,-0.042967737069830036,1.53264,0.333666,20.119,70.578,229.903,188.978,1.5325463839734779,-0.287599137243187,0.169080648602057,0.16738709083655,0.058908710813607,273.4152015681948
2022QW1,1,59812.92765046296,0.002212932047424477,0.453823324022916,58.054437505081296,0.10675865069424617,2.06474,0.532567,9.447,327.643,329.708,336.502,2.0695138901693997,-0.47358732811781,0.245715353501922,-0.044246916116329,0.069917845595274,306.0191267251081
2022QW1,2,59813.30685185185,6.255293491291674,0.48354686296079674,-0.0596555995939525,0.06138544221221309,2.06474,0.532567,9.447,327.643,329.708,336.502,2.0695138901693997,-0.47358732811781,0.245715353501922,-0.044246916116329,0.069917845595274,306.0191267251081
2022QW1,3,59814.055659722224,6.224214486023462,0.5126889163695547,-0.03953277717482706,0.052416604016798374,2.06474,0.532567,9.447,327.643,329.708,336.502,2.0695138901693997,-0.47358732811781,0.245715353501922,-0.044246916116329,0.069917845595274,306.0191267251081
2022QW1,4,59815.88795138889,6.193881899898688,0.5405473770762071,-0.014773082123937025,0.010665149863098047,2.06474,0.532567,9.447,327.643,329.708,336.502,2.0695138901693997,-0.47358732811781,0.245715353501922,-0.044246916116329,0.069917845595274,306.0191267251081
2009SY63,1,55091.38690972222,6.156819833232587,-0.051456669671922826,-0.003633271557646367,-0.0013700104238978383,5.90566,0.778438,0.842,346.225,289.319,40.283,5.962162578460113,-0.774341282074549,0.077223063720145,-0.001570617767752,0.007194670456715,284.0401970090592
2009SY63,2,55093.25109953704,6.150335207840908,-0.05389964581103378,-0.0038048062260713778,-0.0013427278180699886,5.90566,0.778438,0.842,346.225,289.319,40.283,5.962162578460113,-0.774341282074549,0.077223063720145,-0.001570617767752,0.007194670456715,284.0401970090592
2009HF21,1,54941.44175925926,3.9178220206500978,-0.00025889050571249224,0.179090692943646,-0.11940174189453501,2.33831,0.570173,4.268,34.717,188.672,171.691,2.353413084102535,-0.390943224942801,-0.413321180135204,0.021276770115189,0.030578947734474,220.7894166722323
2009HF21,2,54942.654328703706,4.166665974855798,-0.15464005023614646,0.21371172953911355,-0.12431344512697251,2.33831,0.570173,4.268,34.717,188.672,171.691,2.353413084102535,-0.390943224942801,-0.413321180135204,0.021276770115189,0.030578947734474,220.7894166722323
2009HF21,3,54943.29033564815,4.306130872059535,-0.23590597390477022,0.220867535718412,-0.11940825893225337,2.33831,0.570173,4.268,34.717,188.672,171.691,2.353413084102535,-0.390943224942801,-0.413321180135204,0.021276770115189,0.030578947734474,220.7894166722323
2024UM1,1,60606.38894675926,0.47172715389671444,0.27270822891916324,0.12226606076666258,-0.10120416200675209,1.62423,0.416469,9.155,210.74,138.949,108.098,1.624966103077261,-0.074682298605891,0.409954473787814,-0.040960289506691,-0.068836708188054,5.7939698024881
2024UM1,2,60607.288310185184,0.5706071827833054,0.19319049490325232,0.08550494367591455,-0.07683884009469466,1.62423,0.416469,9.155,210.74,138.949,108.098,1.624966103077261,-0.074682298605891,0.409954473787814,-0.040960289506691,-0.068836708188054,5.7939698024881
2019UU8,1,58780.334074074075,6.263501265709437,0.21294931888371202,0.022661751442810515,0.008791614359563264,2.54982,0.566702,1.767,319.176,45.015,133.764,2.5514665985759013,0.041057640632026,0.564644974732041,-0.010067263268501,0.011687462263304,9.8462530334223
2019UU8,2,58781.26729166666,0.002828087886700312,0.2209444297802575,0.02234937821827998,0.008515752184962366,2.54982,0.566702,1.767,319.176,45.015,133.764,2.5514665985759013,0.041057640632026,0.564644974732041,-0.010067263268501,0.011687462263304,9.8462530334223
2019UU8,3,58782.28971064815,0.026871380051913363,0.22929709076662125,0.025065438056458333,0.005979941904399766,2.54982,0.566702,1.767,319.176,45.015,133.764,2.5514665985759013,0.041057640632026,0.564644974732041,-0.010067263268501,0.011687462263304,9.8462530334223
2019UU8,4,58783.25025462963,0.0488881267894045,0.23668506949031326,0.023231810424476862,0.008069775457897777,2.54982,0.566702,1.767,319.176,45.015,133.764,2.5514665985759013,0.041057640632026,0.564644974732041,-0.010067263268501,0.011687462263304,9.8462530334223
